game_num,completed_at,first_guess,word,turns
0,2022-01-12 01:21:37.100346,about,ipsum,3
0,2022-01-12 01:21:37.211633,their,check,2
0,2022-01-12 01:21:37.332907,there,sieur,4
0,2022-01-12 01:21:37.485601,which,nodal,6
0,2022-01-12 01:21:37.603425,would,meals,4
0,2022-01-12 01:21:37.723885,other,surly,5
0,2022-01-12 01:21:37.845355,after,cloud,4
0,2022-01-12 01:21:37.962257,first,nantz,8
0,2022-01-12 01:21:38.082179,think,intel,3
0,2022-01-12 01:21:38.193910,could,chine,5
0,2022-01-12 01:21:38.314911,these,stage,3
0,2022-01-12 01:21:38.431097,where,twine,3
0,2022-01-12 01:21:38.549201,right,craic,5
0,2022-01-12 01:21:38.667747,years,alder,6
0,2022-01-12 01:21:38.787278,being,aaron,4
0,2022-01-12 01:21:38.921211,going,blase,8
0,2022-01-12 01:21:39.051922,still,edema,5
0,2022-01-12 01:21:39.171096,never,primo,4
0,2022-01-12 01:21:39.289414,those,sacks,6
0,2022-01-12 01:21:39.412393,world,socom,6
0,2022-01-12 01:22:12.050691,about,gerri,5
1,2022-01-12 01:22:12.164107,about,logos,4
2,2022-01-12 01:22:12.293202,about,pairs,3
3,2022-01-12 01:22:12.402935,about,tyner,5
4,2022-01-12 01:22:12.513941,about,boils,3
5,2022-01-12 01:22:12.634338,about,buona,2
6,2022-01-12 01:22:12.786006,about,eider,7
7,2022-01-12 01:22:12.917250,about,chaka,6
8,2022-01-12 01:22:13.040885,about,lazlo,5
9,2022-01-12 01:22:13.157226,about,alexi,4
10,2022-01-12 01:22:13.275348,about,gauri,5
11,2022-01-12 01:22:13.396282,about,civic,4
12,2022-01-12 01:22:13.508441,about,krabi,4
13,2022-01-12 01:22:13.627311,about,gorky,5
14,2022-01-12 01:22:13.760665,about,nella,5
15,2022-01-12 01:22:13.871751,about,brave,4
16,2022-01-12 01:22:13.986710,about,jambo,4
17,2022-01-12 01:22:14.112584,about,geary,5
18,2022-01-12 01:22:14.222075,about,twirl,4
19,2022-01-12 01:22:14.350325,about,carpe,7
20,2022-01-12 01:22:14.470627,about,coked,7
21,2022-01-12 01:22:14.595208,about,fusco,7
