game_id,start_at,completed_at,n_letters,first_guess,sort_on,model_params,word,turns
0830a22860897,21:55.0,21:55.5,5,their,model_rank,model_params,lauer,5
158e680ab4e93,21:57.9,21:58.5,5,their,model_rank,model_params,patsy,4
2919729692e8b,22:01.3,22:02.3,5,their,model_rank,model_params,acqua,5
33e36180c9b11,22:04.6,22:05.4,5,their,model_rank,model_params,widow,4
4e7a3430efa13,22:08.0,22:09.2,5,their,model_rank,model_params,banna,9
55c7540199d03,22:11.7,22:12.2,5,their,model_rank,model_params,ultra,4
6d27a97ca8d15,22:14.5,22:15.1,5,their,model_rank,model_params,rizal,5
7d2f7c003b4e8,22:17.4,22:18.5,5,their,model_rank,model_params,clunk,6
800577da9ad89,22:21.0,22:21.9,5,their,model_rank,model_params,folds,4
916707c30d389,22:24.2,22:24.7,5,their,model_rank,model_params,atoms,3
10649d52cf0326,22:27.0,22:27.5,5,their,model_rank,model_params,frill,6
11b9195efb83d8,22:29.8,22:30.6,5,their,model_rank,model_params,geode,5
124aa594ef8a6b,22:33.1,22:33.9,5,their,model_rank,model_params,gauge,5
1393a78653890b,22:36.2,22:36.8,5,their,model_rank,model_params,losin,5
14893df990af76,22:39.3,22:40.1,5,their,model_rank,model_params,cowes,8
15c032d9cf5392,22:42.5,22:43.0,5,their,model_rank,model_params,sabri,4
16ec06b7420ada,22:45.5,22:46.4,5,their,model_rank,model_params,ended,5
170c3ef751e463,22:48.7,22:49.2,5,their,model_rank,model_params,felix,5
18d81ac31b4b09,22:51.5,22:51.9,5,their,model_rank,model_params,stern,3
190f7d3070e94d,22:54.2,22:55.0,5,their,model_rank,model_params,liddy,6
2035663515be80,22:57.2,22:57.7,5,their,model_rank,model_params,lamar,3
213c19d6ca9013,23:00.3,23:02.1,5,their,model_rank,model_params,lousy,3
223ee06f78ef17,23:05.3,23:06.1,5,their,model_rank,model_params,dodge,4
235fd6913c9134,23:08.3,23:08.8,5,their,model_rank,model_params,betas,4
24922ce48b8873,23:11.2,23:12.3,5,their,model_rank,model_params,kwang,4
25137195b77a98,23:14.5,23:15.2,5,their,model_rank,model_params,skips,5
26195a904198e2,23:17.7,23:18.9,5,their,model_rank,model_params,falla,8
27862fa014d47a,23:21.4,23:22.3,5,their,model_rank,model_params,leave,3
28ed72a94f2b7d,23:24.6,23:25.3,5,their,model_rank,model_params,koryo,5
29c79baa7ab5bf,23:27.7,23:28.2,5,their,model_rank,model_params,petal,5
3059a8378e556d,23:30.5,23:31.3,5,their,model_rank,model_params,pelle,5
318a3ae130b620,23:33.6,23:34.0,5,their,model_rank,model_params,reach,3
32bd43cfb4c429,23:36.3,23:37.1,5,their,model_rank,model_params,sails,6
3332b1a681d6d7,23:39.6,23:40.6,5,their,model_rank,model_params,lousy,3
340132e997f7e1,23:42.9,23:43.9,5,their,model_rank,model_params,lobos,6
35bfc96a4585d0,23:46.3,23:47.3,5,their,model_rank,model_params,dodgy,5
36585a3d3852e0,23:49.7,23:50.4,5,their,model_rank,model_params,bloke,4
3768225bb133d9,23:52.8,23:53.5,5,their,model_rank,model_params,gains,3
38d09f5fe98c30,23:55.7,23:56.1,5,their,model_rank,model_params,broil,3
39e878f9ccbbfd,23:58.4,23:58.8,5,their,model_rank,model_params,nieto,4
40556ab859ff15,24:01.1,24:02.1,5,their,model_rank,model_params,basso,5
418da98be38e92,24:04.3,24:04.8,5,their,model_rank,model_params,grips,3
422d401b390110,24:07.0,24:07.5,5,their,model_rank,model_params,razor,5
438f6b98beab78,24:09.7,24:10.4,5,their,model_rank,model_params,bards,5
446ac705d85ebf,24:12.7,24:13.1,5,their,model_rank,model_params,cheon,7
45256aa8166d2a,24:15.3,24:16.3,5,their,model_rank,model_params,songz,5
